id,date,time,A,B,C,D,E,F,G,H
111545,1/3/2022,18:50:00,1892,748,1941,750,1575,755,11888,1487
111546,1/3/2022,19:00:25,0,0,0,0,0,0,0,0
111547,1/3/2022,19:10:06,1892,748,1941,751,1577,753,11911,1488
111548,1/3/2022,19:20:01,1891,747,1941,749,1577,754,11913,1489
111549,1/3/2022,19:30:28,0,0,0,0,0,0,0,0
111550,1/3/2022,19:40:00,1892,748,1941,751,1582,756,11929,1491
111551,1/3/2022,19:50:00,1891,747,1941,747,1582,753,11931,1493
111552,1/3/2022,20:00:19,0,0,0,0,0,0,0,0
111553,1/3/2022,20:10:02,1889,748,1941,751,1582,755,11935,1498
111554,1/3/2022,20:20:03,1890,750,1941,751,1584,759,11922,1498
111555,1/3/2022,20:30:27,0,0,0,0,0,0,0,0
111556,1/3/2022,20:40:00,1892,748,1941,750,1587,756,11906,1498
111557,1/3/2022,20:50:00,1892,750,1941,749,1587,755,11907,1498
111558,1/3/2022,21:00:30,0,0,0,0,0,0,0,0
111559,1/3/2022,21:10:04,1892,749,1941,751,1590,755,11935,1498
111560,1/3/2022,21:20:00,1892,750,1941,751,1592,756,11910,1498
111561,1/3/2022,21:30:28,0,0,0,0,0,0,0,0
111562,1/3/2022,21:40:01,1892,749,1941,751,1591,756,11937,1499
111563,1/3/2022,22:00:28,0,0,0,0,0,0,0,0
111564,1/3/2022,22:10:00,1891,751,1941,751,1592,755,11906,1501
111565,1/3/2022,22:20:00,1892,751,1941,751,1593,754,11893,1502
111566,1/3/2022,22:30:20,0,0,0,0,0,0,0,0
111567,1/3/2022,22:40:00,1892,749,1942,750,1596,756,11940,1502
111568,1/3/2022,22:50:01,1892,749,1942,751,1596,752,11903,1503
111569,1/3/2022,23:00:25,0,0,0,0,0,0,0,0
111570,1/3/2022,23:10:01,1892,750,1943,751,1596,753,11903,1503
111571,1/3/2022,23:20:01,1892,749,1942,751,1596,754,11940,1498
111572,1/3/2022,23:30:18,0,0,0,0,0,0,0,0
111573,1/3/2022,23:40:05,1892,750,1942,751,1598,754,11937,1500
111574,1/3/2022,23:50:00,1892,750,1942,751,1597,756,11899,1500
111575,1/4/2022,0:00:11,0,0,0,0,0,0,0,0
111576,1/4/2022,0:10:04,1892,751,1942,751,1598,757,11934,1501
111577,1/4/2022,0:20:04,1892,747,1942,751,1601,756,11933,1503
111578,1/4/2022,0:30:27,0,0,0,0,0,0,0,0
111579,1/4/2022,0:40:03,1892,751,1944,751,1601,754,11900,1501
111580,1/4/2022,0:50:01,1892,750,1942,751,1601,758,11935,1503
111581,1/4/2022,1:00:25,0,0,0,0,0,0,0,0
111582,1/4/2022,1:10:08,1892,747,1942,751,1601,754,11915,1503
111583,1/4/2022,1:20:00,1892,750,1943,751,1602,756,11918,1504
111584,1/4/2022,1:30:19,0,0,0,0,0,0,0,0
111585,1/4/2022,1:40:03,1892,749,1945,751,1605,756,11907,1499
111586,1/4/2022,1:50:00,1892,750,1946,751,1606,755,11895,1503
111587,1/4/2022,2:00:19,0,0,0,0,0,0,0,0
111588,1/4/2022,2:10:05,1892,751,1942,751,1605,756,11896,1507
111589,1/4/2022,2:20:00,1892,750,1944,751,1606,754,11934,1504
111590,1/4/2022,2:30:18,0,0,0,0,0,0,0,0
111591,1/4/2022,2:40:02,1892,750,1942,751,1606,756,11917,1508
111592,1/4/2022,2:50:00,1892,749,1942,751,1607,757,11927,1505
111593,1/4/2022,3:00:28,0,0,0,0,0,0,0,0
111594,1/4/2022,3:10:01,1892,749,1942,751,1611,754,11906,1506
111595,1/4/2022,3:20:00,1892,751,1944,751,1610,758,11904,1503
111596,1/4/2022,3:30:33,0,0,0,0,0,0,0,0
111597,1/4/2022,3:40:01,1892,750,1946,751,1612,753,11900,1510
111598,1/4/2022,3:50:01,1892,747,1943,751,1614,756,11926,1512
111599,1/4/2022,4:00:32,0,0,0,0,0,0,0,0
111600,1/4/2022,4:10:00,1892,751,1944,751,1616,755,11936,1508
111601,1/4/2022,4:20:03,1892,751,1946,751,1616,756,11914,1510
111602,1/4/2022,4:30:28,0,0,0,0,0,0,0,0
111603,1/4/2022,4:40:01,1892,751,1945,751,1616,754,11926,1512
111604,1/4/2022,4:50:01,1892,751,1945,751,1616,756,11929,1513
111605,1/4/2022,5:00:25,0,0,0,0,0,0,0,0
111606,1/4/2022,5:10:00,1892,747,1942,751,1617,755,11940,1513
111607,1/4/2022,5:20:01,1892,749,1944,751,1620,755,11937,1513
111608,1/4/2022,5:30:19,0,0,0,0,0,0,0,0
111609,1/4/2022,5:40:01,1892,749,1946,751,1621,756,11898,1513
111610,1/4/2022,5:50:00,1892,748,1944,751,1621,756,11917,1513
111611,1/4/2022,6:00:20,0,0,0,0,0,0,0,0
111612,1/4/2022,6:10:01,1892,750,1945,751,1621,753,11901,1513
111613,1/4/2022,6:20:00,1892,751,1944,751,1621,755,11932,1513
111614,1/4/2022,6:30:28,0,0,0,0,0,0,0,0
111615,1/4/2022,6:40:00,1892,748,1946,751,1621,752,11917,1514
111616,1/4/2022,6:50:00,1892,749,1945,751,1622,755,11890,1516
111617,1/4/2022,7:10:00,1892,750,1946,751,1623,756,11906,1513
111618,1/4/2022,7:20:00,1892,747,1944,751,1624,757,11927,1513
111619,1/4/2022,7:30:27,0,0,0,0,0,0,0,0
111620,1/4/2022,7:40:05,1892,748,1942,751,1622,756,11900,1504
111621,1/4/2022,7:50:02,1892,748,1946,751,1618,756,11923,1500
111622,1/4/2022,8:00:25,0,0,0,0,0,0,0,0
111623,1/4/2022,8:10:00,1892,751,1945,751,1613,756,11900,1496
111624,1/4/2022,8:20:09,1892,750,1942,751,1612,754,11900,1493
111625,1/4/2022,8:30:19,0,0,0,0,0,0,0,0
111626,1/4/2022,8:40:01,1893,747,1946,751,1607,755,11937,1488
111627,1/4/2022,8:50:04,1893,747,1946,750,1607,756,11903,1488
111628,1/4/2022,9:00:28,0,0,0,0,0,0,0,0
111629,1/4/2022,9:10:00,1894,747,1946,749,1607,756,11935,1488
111630,1/4/2022,9:20:00,1894,748,1946,751,1607,755,11937,1484
111631,1/4/2022,9:30:02,1896,750,1946,751,1602,756,11928,1475
111632,1/4/2022,9:40:00,1895,747,1946,749,1597,756,11932,1475
111633,1/4/2022,9:50:00,1895,748,1946,751,1597,755,11927,1474
111634,1/4/2022,10:00:25,0,0,0,0,0,0,0,0
111635,1/4/2022,10:10:07,1893,748,1946,749,1597,756,11914,1475
111636,1/4/2022,10:20:01,1896,747,1946,749,1597,756,11928,1475
111637,1/4/2022,10:30:25,0,0,0,0,0,0,0,0
111638,1/4/2022,10:50:04,1896,747,1949,750,1593,756,11928,1469
111639,1/4/2022,11:00:27,0,0,0,0,0,0,0,0
111640,1/4/2022,11:10:01,1896,747,1951,751,1591,755,11928,1461
111641,1/4/2022,11:20:00,1896,747,1951,751,1591,755,11941,0
111642,1/4/2022,11:30:04,1896,747,1951,751,1592,754,11949,1467
111643,1/4/2022,11:40:02,1896,747,1951,751,1592,754,11955,1469
111644,1/4/2022,11:50:00,1897,747,1951,751,1592,757,11969,1465
111645,1/4/2022,12:00:28,0,0,0,0,0,0,0,0
